symbol,name,segment
TEL2-B.ST,Tele2 AB ser. B,Large Cap
TELIA.ST,Telia Company AB,Large Cap
THULE.ST,Thule Group AB,Large Cap
TREL-B.ST,Trelleborg AB ser. B,Large Cap
VOLV-A.ST,Volvo AB ser. A,Large Cap
VOLV-B.ST,Volvo AB ser. B,Large Cap
VPLAY-B.ST,Viaplay Group AB ser. B,Large Cap
WALL-B.ST,Wallenstam AB ser. B,Large Cap
WIHL.ST,Wihlborgs Fastigheter AB,Large Cap
ALIG.ST,Alimak Group AB,Mid Cap
ANOD-B.ST,Addnode Group AB ser. B,Mid Cap
ARISE.ST,Arise AB,Mid Cap
BEIA-B.ST,Beijer Alma AB ser. B,Mid Cap
BETS-B.ST,Betsson AB ser. B,Mid Cap
BHG.ST,BHG Group AB,Mid Cap
BOOZT.ST,Boozt AB,Mid Cap
BRAV.ST,Bravida Holding AB,Mid Cap
BULTEN.ST,Bulten AB,Mid Cap
BYGMAX.ST,Byggmax Group AB,Mid Cap
CATE.ST,Catena AB,Mid Cap
CAT-B.ST,Catella AB ser. B,Mid Cap
CINT.ST,Cint Group AB,Mid Cap
CLOETTA-B.ST,Cloetta AB ser. B,Mid Cap
CORE-B.ST,Corem Property Group AB ser. B,Mid Cap
CORE-D.ST,Corem Property Group AB ser. D,Mid Cap
DIOS.ST,Diös Fastigheter AB,Mid Cap
DUST.ST,Dustin Group AB,Mid Cap
EOLU-B.ST,Eolus Vind AB ser. B,Mid Cap
FPAR-B.ST,Fastpartner AB ser. B,Mid Cap
FOI-B.ST,Fenix Outdoor International AG ser. B,Mid Cap
G5EN.ST,G5 Entertainment AB,Mid Cap
GARO.ST,Garo AB,Mid Cap
GRNG.ST,Gränges AB,Mid Cap
HANZA.ST,Hanza AB,Mid Cap
HEXPOL-B.ST,HEXPOL AB ser. B,Mid Cap
HOIST.ST,Hoist Finance AB,Mid Cap
INWI.ST,Inwido AB,Mid Cap
KAMBI.ST,Kambi Group plc,Mid Cap
KAR.ST,Karnov Group AB,Mid Cap
KNOW.ST,Knowit AB,Mid Cap
LAGR-B.ST,Lagercrantz Group AB ser. B,Mid Cap
MEKO.ST,Mekonomen AB,Mid Cap
MIPS.ST,Mips AB,Mid Cap
MYCR.ST,Mycronic AB,Mid Cap
NOBI.ST,Nobia AB,Mid Cap
NPAPER.ST,Nordic Paper Holding AB,Mid Cap
NWG.ST,Nordic Waterproofing Holding AB,Mid Cap
NYF.ST,Nyfosa AB,Mid Cap
ORRON.ST,Orrön Energy AB,Mid Cap
PDX.ST,Paradox Interactive AB,Mid Cap
PNDX-B.ST,Pandox AB ser. B,Mid Cap
PROB.ST,Probi AB,Mid Cap
RATO-B.ST,Ratos AB ser. B,Mid Cap
RESURS.ST,Resurs Holding AB,Mid Cap
SCST.ST,Scandi Standard AB,Mid Cap
SHOT.ST,Scandic Hotels Group AB,Mid Cap
SECT-B.ST,Sectra AB ser. B,Mid Cap
SEYE.ST,Smart Eye AB,Mid Cap
SF.ST,Stillfront Group AB,Mid Cap
SKIS-B.ST,SkiStar AB ser. B,Mid Cap
STORY-B.ST,Storytel AB ser. B,Mid Cap
TETY.ST,Tethys Oil AB,Mid Cap
TROAX.ST,Troax Group AB,Mid Cap
VBG-B.ST,VBG Group AB ser. B,Mid Cap
VESTUM.ST,Vestum AB,Mid Cap
VITR.ST,Vitrolife AB,Mid Cap
VIT-B.ST,Vitec Software Group AB ser. B,Mid Cap
VNV.ST,VNV Global AB,Mid Cap
XANO-B.ST,XANO Industri AB ser. B,Mid Cap
ÖRES.ST,Investment AB Öresund,Mid Cap
